name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Padelta;;;https://padelta.ch/;200;;Volketswil;;Padel + Tennis;47.37763,8.67087
Pro Tennis Marly;+41 26 436 35 35;;https://www.protennismarly.ch/;404;1723;Marly;Route de Corbaroche 60;Tennis;46.76833,7.16880
Rosenau Tennis;;;https://apps.gotcourts.com/de/profile/club/rosenau;200;;Fehraltorf;;Tennis (Sand);47.30379,8.69096
Sport-, Fitness- und Gesundheitscenter Leuholz;+41 848 550 510;info@sportcenter-leuholz.ch;https://www.sportcenter-leuholz.ch;200;8855;Wangen (SZ);Leuholz 2;Tennis + Squash + Badminton + Fitness + Padel + Wellness;47.19337,8.88179
Sportcenter Leuggern;;;https://scl.li/;200;;Leuggern;;Tennis;47.58317,8.21588
Sportcenter Schumacher;;;https://sportcenterschumacher.ch/;200;8600;Dübendorf;Am Stadtrand 46;Tennis + Squash;47.39843,8.59939
Sportzentrum Prau la Selva;+41 81 920 91 91;info@sportzentrum-flims.ch;https://sportzentrum-flims.ch/;200;7018;Flims Waldhaus;Via Prau la Selva 6;Tennis + Curling + Eishockey + Fitness + Fussball + Leichtathletik;46.82387,9.27663
Sportzentrum Zuchwil;;;https://www.szzag.ch/;200;4528;Zuchwil;Amselweg 59;Tennis + Schwimmen + Eishockey + Minigolf + Fitness;47.21559,7.55777
TC Grafstal;;;https://www.tc-grafstal.ch/;200;;Grafstal;;Tennis;47.44624,8.69880
TC Horw;;;https://tchorw.ch/;200;6048;Horw;Kastanienbaumstrasse 90;Tennis (Sand);47.02066,8.32586
TC Kehrsatz;+41 31 961 01 44;info@tennis-kehrsatz.ch;https://tckehrsatz.ch/;200;3122;Kehrsatz;Zimmerwaldstrasse 12;Tennis;46.91018,7.46951
TC Morgins;;;https://www.tcmorgins.ch/;200;1875;Morgins;Route de France 35;Tennis;46.23673,6.85140
TC Neuenhof;;;https://www.tcneuenhof.ch/;200;;Neuenhof;;Tennis;47.45138,8.33100
TC Untervaz;;;https://www.tcuntervaz.ch/;200;;Untervaz;;Tennis;46.93424,9.54015
TC Wehntal;+41 44 856 06 10;rguldimann@bluewin.ch;https://www.tcwehntal.ch/;200;;Niederweningen;;Tennis;47.49787,8.40998
TCA Zug;;;https://www.prigkaeng.com;000;;Zug;;Tennis;47.18310,8.48777
TOP Tennis und Squash Center;;;https://www.beltop.ch/;500;;Bellach;;Tennis + Squash;47.20769,7.50093
Tennis & Squash Center Zofingen;+41 62 751 21 10;;https://www.tenniscenterzofingen.ch;200;;Zofingen;Eisengrubenweg 24;Tennis;47.27582,7.94217
Tennis Center Egnach;;info@tc-egnach.ch;;-;9322;Egnach;Romanshornerstrasse 121;Tennis;47.54667,9.37303
Tennis Champagne (Gurzelen);;;https://terrain-gurzelen.org/tennis-champagne;200;;Biel/Bienne;;Tennis (Rasen);47.14531,7.26146
Tennis Club Bellaria;;;http://tcbellaria.ch;200;;Lausanne;;Tennis;46.45048,6.86569
Tennis Club Bossonnens;;;http://www.tcbossonnens.ch/;000;;Bossonnens;;Tennis;46.52627,6.84665
Tennis Club Brusino Arsizio;;;https://www.tennisbrusino.ch/;200;6827;Brusino Arsizio;;Tennis;45.92144,8.93014
Tennis Club Buchegg;;;https://www.tennis-tcb.ch/;200;;Zürich;;Tennis;47.40570,8.59536
Tennis Club Carona;+41 91 649 94 64;;https://tccarona.ch;200;6914;Carona;Via Mauri 2;Tennis;45.95499,8.92994
Tennis Club Lugano 1903;;;https://www.tclugano1903.ch/;200;;Lugano;;Tennis;46.02470,8.96631
Tennis Club Melide;;;https://www.tennisclubmelide.ch/;200;6815;Melide;Lungolago Mario Gallino;Tennis;45.95332,8.95179
Tennis Club Monthey;+41 24 471 25 13;;http://www.tcmonthey.ch/;200;1870;Monthey;Avenue du Simplon 28;Tennis;46.24862,6.95214
Tennis Club Salorino;;;https://www.tennisclubsalorino.ch/;200;;Salorino;;Tennis;45.88266,8.99083
Tennis Club Torgon;;tennistorgon@bluewin.ch;;-;;Torgon;;Tennis + Padel + Badminton;46.31364,6.86995
Tennis Club Trois-Chêne;;;https://www.tc3c.com;200;1226;Thônex;Route de Sous-Moulin 39;Tennis;46.18872,6.19215
Tennis Club Vacallo;;;https://www.tennisvacallo.ch/;200;;Vacallo;;Tennis;45.84282,9.03002
Tennis Club Vallée de Joux;;;https://tcvj.ch/;200;;Le Sentier;;Tennis;46.60454,6.23216
Tennis Club Wallisellen;+41 44 830 20 59;;https://www.tcwallisellen.ch/;200;;Wallisellen;;Tennis;47.42276,8.59236
Tennis Club Züri-Linie;;;http://www.tc-zueri-linie.ch/;000;;Zürich;;Tennis;47.40566,8.59534
Tennis Club d'Yvonand;;;https://www.tcyvonand.ch/;200;1462;Yvonand;Chemin de la Petite Amérique 5;Tennis;46.79911,6.75649
Tennis Club de Cheyres;;;https://tc-cheyres.ch/;200;1468;Cheyres;Route de Crevel 301d;Tennis + Padel;46.80959,6.77396
Tennis Echallens;;;https://tcechallens.ch/;200;1040;Echallens;Chemin du Tennis 4;Tennis;46.63923,6.64267
Tennis Elm;;;https://tenniselm.clubdesk.ch/;200;;Elm;;Tennis;46.92149,9.17917
Tennis Menzingen;+41 41 755 18 33;;https://www.tennis-menzingen.ch/;200;6313;Menzingen;Industriestrasse 4;Tennis;47.17348,8.60094
Tennis Club Delémont;;;https://www.tc-delemont.ch/;200;2800;Delémont;Vies-Sainte-Catherine 16;Tennis;47.35941,7.33956
Tennis de Villars;;;https://www.alpesvaudoises.ch/;403;1884;Villars-sur-Ollon;Les Rochegrises 2;Tennis + Squash + Fitness;46.29499,7.05949
Tennis und Squash Fällanden;;;https://tennis-squash.ch/;200;8117;Fällanden;Industriestrasse 40;Tennis + Squash;47.37795,8.64528
Tennis-Center Ergolz;+41 61 971 50 51;kontakt@tenniscenter-ergolz.ch;https://tenniscenter-ergolz.ch/;000;;Gelterkinden;;Tennis;47.46998,7.79959
Tennis-Club Martigny;+41 27 722 33 94;;http://www.tcmartigny.ch;-;;Martigny;;Tennis;46.09582,7.07404
Tennis-Club Villeret;;;https://www.tcvilleret.org/;200;2613;Villeret;Rue Jacques-René Fiechter 34;Tennis;47.15497,7.01227
TennisArena;;;https://www.tennisarena.ch;200;;Winterthur;;Tennis;47.50287,8.78498
Tennisanlage Furttalstrasse (TC Valsana);+41 79 437 96 10;;https://www.tcvalsana.ch/;200;8046;Zürich;Furttalstrasse 214;Tennis;47.42347,8.49226
Tenniscenter Grüze;;;https://www.tenniscenter-grueze.ch/;403;8405;Winterthur;Im Hölderli 9;Tennis + Badminton + Squash + Pickleball;47.49245,8.76076
Tenniscenter Urdorf;+41 44 734 18 63;;https://tenniscenter-urdorf.ch/;200;8902;Urdorf;Steinackerstrasse 20;Tennis;47.39432,8.42142
Tennisclub Brütten;;;https://www.tcbruetten.ch/;200;;Brütten;Rüterenweg 9;Tennis;47.47590,8.67770
Tennisclub Chur;+41 81 284 35 09;info@tcchur.ch;https://www.tcchur.com/;200;7000;Chur;Felsenaustrasse 55;Tennis;46.86132,9.50792
Tennisclub Dürnten;+41 55 240 44 44;;https://www.tcduernten.ch/;200;8635;Dürnten;Bubikonerstrasse 39a;Tennis;47.27591,8.83499
Tennisclub Erlen;;;https://www.tcerlen.ch;200;8157;Dielsdorf;Niederhaslistrasse 20;Tennis;47.48323,8.47083
Tennisclub Frauenfeld;;;https://www.tennisclub-frauenfeld.ch;200;;Frauenfeld;;Tennis;47.54989,8.89876
Tennisclub Gähwil;;;https://tcgaehwil.ch/;200;;Gähwil;;Tennis;47.39563,9.00071
Tennisclub Hinwil;+41 44 937 36 18;info@tc-hinwil.ch;https://tc-hinwil.ch/;200;;Hinwil;Holzweidstrasse 35;Tennis;47.30952,8.83437
Tennisclub Hönggerberg (Imbisbühl);;;https://xn--tchnggerberg-6ib.ch/;200;8049;Zürich;Imbisbühlstrasse 83;Tennis;47.40437,8.48787
Tennisclub Hönggerberg (Lerchenberg);;;https://xn--tchnggerberg-6ib.ch/;200;8046;Zürich;Lerchenhalde 6;Tennis;47.41221,8.51041
Tennisclub Mollis;;;https://tcmollis.ch/;200;;Mollis;;Tennis;47.08576,9.07546
Tennisclub Mutschellen;+41 56 633 38 77;info@tcmutschellen.ch;https://www.tcmutschellen.ch/;200;8967;Widen;Hasenbergstrasse 15;Tennis;47.37022,8.36936
Tennisclub Neuenkirch;;;https://www.tc-neuenkirch.ch/;200;;Neuenkirch;;Tennis;47.10060,8.19890
Tennisclub Olten;;;https://www.tcolten.ch/;200;;Olten;;Tennis;47.35418,7.89331
Tennisclub Pfäffikon;;;https://tc-pfaeffikon.ch/;200;8330;Pfäffikon ZH;Stogelenweg 20;Tennis;47.36216,8.78386
Tennisclub Rickenbach ZH;;;https://www.tcrickenbach-zh.ch/;200;8545;Rickenbach (ZH);Austrasse;Tennis;47.55149,8.78744
Tennisclub Riesbach;;;https://tcriesbach.ch/;200;8008;Zürich;Bleulerstrasse 41;Tennis;47.35011,8.57101
Tennisclub Schmerikon;;;https://www.tcschmerikon.ch/;200;;Schmerikon;;Tennis;47.22288,8.94889
Tennisclub Speicher;;praesident@gthspeicher.ch;https://www.gthspeicher.ch/;200;9042;Speicher;Hinterwies 37;Tennis;47.41791,9.43570
Tennisclub Unteres Aaretal;;;https://tcua.ch/;200;;Döttingen;;Tennis;47.56502,8.26409
Tennisclub Waidberg;+41 44 544 01 01;;https://tcwaidberg.ch/;200;8037;Zürich;Waidbadstrasse 151;Tennis;47.40300,8.51567
Tennisclub Wohlensee;;;https://www.tcwohlensee.ch;200;;Wohlen b. Bern;;Tennis;46.96086,7.37456
Tennisclub Zollikerberg;;;https://www.tczollikerberg.ch/;200;8125;Zollikerberg;Oberhubstrasse 80;Tennis;47.34337,8.61426
Tennisclub Zollikon;;;https://tc-zollikon.ch/;200;;Zollikon;;Tennis;47.34457,8.57414
Tennishalle Bad (Tennis Glarus);;;http://www.tennis-glarus.ch/;200;8867;Niederurnen;Badstrasse 20;Tennis;47.12954,9.05193
Tennishalle Dürnten;+41 55 511 53 10;mh@sportschule-duernten.ch;https://halle.sportschule-tennis.ch/;200;8635;Dürnten;Bubikonerstrasse 43a;Tennis;47.27560,8.83389
Tennishalle Thun;+41 33 336 83 83;tennishalle-thun@vtxmail.ch;https://www.tennishalle-thun.ch;200;3604;Thun;Burgerstrasse 50;Tennis;46.74459,7.61221
Tivoli;+41 31 921 37 17;;https://www.tivoliag.ch;000;;Bern;;Tennis + Badminton + Squash + Fitness;46.98039,7.46859
Vitis Sport Center;;;https://www.vitis.ch/;200;;Wallisellen;Ifangstrasse 15;Tennis + Badminton + Fitness + Padel + Squash;47.40032,8.45912
YOYO - Centro Sportivo;;;https://www.yoyo-centrosportivo.com/;200;;Airolo;;Padel + Squash + Tennis + Schwimmen + Fitness;46.37276,8.97174
Yakin Arena Padel;+41 43 511 77 58;info@yakinarena.ch;https://yakinarena.ch/;200;8102;Oberengstringen;Neugutstrasse 3;Padel-Tennis;47.40654,8.45837
cis sportS;;;https://www.cissolothurn.ch/;000;;Solothurn;;Tennis;47.19998,7.52743
sports Zugerland;+41 41 748 34 00;mail@sports-zugerland.ch;https://sports-zugerland.ch/;200;6330;Cham;Riedstrasse 1a;Tennis;47.18982,8.47547
uniTTed spinners;;info@unittedspinners.ch;https://www.unittedspinners.ch;200;8152;Opfikon;Sägereistrasse 21;Tischtennis;47.43174,8.55934
Country Club Geneva;+41 22 959 79 00;;;-;1293;Bellevue;Route de Collex 47;Tennis + Padel + Golf + Schwimmen;46.26046,6.14116
