name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Golf Club Ybrig;+41 55 414 60 50;mail@golfybrig.ch;https://www.golfybrig.ch/;200;8845;Studen;Ochsenbodenstrasse;Golfplatz;47.05883,8.85487
Golf Club de Genève;+41 22 707 48 00;secretariat@golfgeneve.ch;https://www.golfgeneve.ch/;200;1253;Vandoeuvres;Route de la Capite 70;Golfplatz;46.22366,6.19460
Golf Club de Lausanne;+41 21 784 84 84;info@golflausanne.ch;https://golflausanne.ch/;200;1000;Lausanne 25;Route du Golf 3;Golfplatz;46.56227,6.67199
Golf Club de Payerne;+41 26 662 42 20;golf.payerne@vtx.ch;https://www.golfpayerne.ch/;200;1530;Payerne;;Golfplatz;46.81720,6.95247
Golf Club de Sierre;+41 27 458 49 58;info@golfsierre.ch;https://www.golfsierre.ch/;200;3977;Granges;Route du Moulin 1;Golfplatz;46.25525,7.45001
Golf Club de Sion;+41 27 203 79 00;info@golfclubsion.ch;http://www.golfclubsion.ch/;200;;Sion;;Golfplatz;46.23957,7.38120
Golf Club de Verbier;+41 27 771 53 14;golf.club@verbier.ch;https://www.verbiergolfclub.ch/;200;1936;Verbier;;Golfplatz + Parcours des Esserts;46.10232,7.23428
Golf Club du Domaine Impérial;+41 22 999 06 00;info@golfdomaineimperial.com;https://www.golfdomaineimperial.ch/;404;1196;Gland;;Golfplatz;46.40163,6.27556
Golf Club les Coullaux;+41 24 481 22 46;secretariat@golflescoullaux.ch;https://www.golflescoullaux.ch/;200;1846;Chessel;Chemin des Coullaux 9;Golfplatz;46.35369,6.88455
Golf Driving Range Pieterlen;;info@golf-pieterlen.com;https://www.golf-pieterlen.com/;404;2542;Pieterlen;Moosgartenweg 6;Driving Range;47.17209,7.32677
Golf Emmental;+41 34 424 10 30;info@golfemmental.ch;https://golfemmental.ch/;200;3414;Oberburg;Ziegelgutstrasse 30;Golfplatz;47.02519,7.63245
Golf Engadin St. Moritz (Zuoz-Madulain);+41 81 851 35 80;;https://www.engadin-golf.ch/en/golf-courses;200;;Zuoz;;Golfplatz;46.58858,9.95377
Golf Fricktal;+41 62 875 78 10;info@golf-fricktal.ch;https://www.golf-fricktal.ch/;200;5070;Frick;Büttihaldenweg 100;Golfplatz;47.50587,8.04638
Golf Gams-Werdenberg;+41 81 772 40 00;office@golfgams.ch;https://golfgams.ch/;200;9473;Gams;;Golfplatz;47.20377,9.47320
Golf Gerre Losone;+41 91 785 10 90;info@golflosone.ch;https://www.golflosone.ch;200;6616;Losone;;Golfplatz;46.17809,8.74809
Golf Goms;+41 27 973 44 00;;https://www.golfgoms.ch/;200;3988;Obergesteln;;Golfplatz;46.51916,8.33565
Golf Grindelwald Aspi;+41 79 658 88 66;mail@golf-grindelwald.ch;https://golf-grindelwald.ch/;200;;Grindelwald;;Golfplatz;46.61685,8.04098
Golf Indoor Broye;+41 26 660 20 40;;https://golfindoorbroye.ch/;200;;Payerne;;Indoor-Golf;46.81089,6.92911
Golf Klub Klosters Selfranga;+41 81 422 11 33;info@golf-klosters.ch;https://www.golf-klosters.ch/;200;;Klosters;;Golfplatz;46.85881,9.88671
Golf Kyburg;+41 52 355 06 06;info@golf-kyburg.ch;https://www.golf-kyburg.ch/;200;8310;Winterthur;;Golfplatz;47.45999,8.71310
Golf Limpachtal;+41 32 661 17 43;info@golf-limpachtal.ch;https://www.golf-limpachtal.ch/;200;4587;Aetingen;Unterdorf 8;Golfplatz;47.13149,7.51392
Golf Meggen;+41 41 379 00 30;;https://www.golfmeggen.ch/;200;6045;Meggen;Kreuzbuchweg 1;Golfplatz;47.04758,8.35623
Golf Rastenmoos;+41 41 467 04 26;info@golfrastenmoos.ch;https://golfrastenmoos.ch/;200;6206;Neuenkirch;Rastenmoos;Golfplatz;47.10434,8.22902
Golf Resort la Gruyère;+41 26 414 94 60;golf@golfresort-lagruyere.ch;https://www.golfresort-lagruyere.ch/;200;1649;Pont-la-Ville;Route du Château 1;Golfplatz + Resort;46.70198,7.10528
Golf Sarneraatal;+41 41 660 36 00;;https://www.golf-ow.ch/;200;;Sarnen;;Golfplatz;46.89556,8.27678
Golf Schinznach Bad;+41 56 443 12 26;;https://www.bad-schinznach.ch/sport/golf;200;5116;Schinznach Bad;Badstrasse 61;Golfplatz;47.45822,8.16756
Golf Target Locarno;+41 91 752 33 53;info@golflocarno.ch;https://www.golflocarno.ch/;200;6600;Locarno;Via Gioacchino Respini;Golfplatz;46.15769,8.80052
Golf Weid Hauenstein;+41 62 878 11 11;info@golf-hauenstein.ch;https://www.golf-hauenstein.ch/;200;4633;Hauenstein-Ifenthal;Hauptstrasse 38;Golfplatz;47.38091,7.87083
Golf Wiggertal;+41 79 270 11 27;info@golfwiggertal.ch;http://www.golfwiggertal.ch;000;;Zofingen;;Golfplatz;47.24273,7.95279
Golf de Bonmont;+41 22 369 99 00;;https://www.bonmont.com/;200;1275;Chéserex;Route de Bonmont 31;Golfplatz;46.40250,6.15424
Golf de Lavaux;+41 21 946 14 14;;https://www.golflavaux.ch/;200;1070;Puidoux-Chexbres;;Golfplatz;46.51009,6.77881
Golf de Pra Roman;;;https://www.golfpraroman.ch/;200;;Lausanne;;Golfplatz;46.56609,6.70045
Golf de Supercrans;+41 27 486 66 00;;https://www.crans-montana.ch/;200;3963;Crans-Montana;Route de Lens-Crans 15;Golfplatz;46.31963,7.49025
Golf de Villars;+41 24 495 42 14;info@golf-villars.ch;http://www.golf-villars.com;200;1884;Villars-sur-Ollon;Route du Col-de-la-Croix;Golfplatz;46.31008,7.08156
Golf du Domaine du Brésil;+41 21 882 24 20;info@golfbresil.ch;https://www.golfbresil.ch/;200;;Bercher;;Golfplatz;46.67454,6.58982
GolfPark Thalwil;;info@golfparkthalwil.ch;https://www.golfparkthalwil.ch;200;8136;Thalwil;Bodenstrasse 21;Golfplatz;47.29060,8.54938
Golfclub Domat/Ems;+41 81 650 35 00;;https://www.golfdomatems.ch;000;7013;Domat/Ems;Vogelsang 1;Golfplatz;46.82331,9.44063
Golfclub Engelberg-Titlis;+41 41 638 08 08;info@golfclub-engelberg.ch;https://www.golfclub-engelberg.ch/;200;6391;Engelberg;Wasserfallstrasse 114;Golfplatz;46.80504,8.43658
Golfclub Entfelden;+41 62 723 89 84;golf@aarau-west.ch;https://www.aarau-west.ch/golf/;200;5036;Oberentfelden;Muhenstrasse 52;Golfplatz;47.34777,8.04317
Golfclub Flühli-Sörenberg;+41 41 488 01 18;info@gcfs.ch;https://www.gcfs.ch/;200;6173;Flühli;Kurzenhütten;Golfplatz;46.86538,8.02091
Golfclub Gotthard Realp;+41 41 887 01 62;;https://www.golf-gotthard.ch/;200;6491;Realp;Wittenwasserstrasse 1;Golfplatz;46.59491,8.49605
Golfclub Gstaad Saanenland;+41 33 748 40 30;sekretariat@golfclubgstaad.ch;https://www.golfclubgstaad.ch/;200;3777;Saanenmöser;Golfstrasse 4;Golfplatz;46.51373,7.32798
Golfclub Heidental;+41 62 285 80 90;info@golfheidental.ch;https://www.golfheidental.ch/;200;;Kienberg;;Golfplatz;47.38415,7.97056
Golfclub Interlaken-Unterseen;+41 33 823 60 16;info@interlakengolf.ch;https://www.interlakengolf.ch/;200;3800;Unterseen;Seestrasse 117;Golfplatz;46.67521,7.82708
Golfclub Küssnacht;+41 41 854 40 20;;http://www.gck.ch/;200;6403;Küssnacht am Rigi;Grossarni 4;Golfplatz;47.09265,8.43047
Golfclub Lenzerheide;;;http://www.golf-lenzerheide.ch/;200;;Lenzerheide;;Golfplatz;46.70893,9.55649
Golfclub Luzern;+41 41 420 97 87;info@golfclubluzern.ch;https://www.golfclubluzern.ch/;200;6006;Luzern;;Golfplatz;47.06525,8.33861
Golfclub Rheinblick;;;https://www.golfclubrheinblick.ch/;200;;Rheinau;;Golfplatz;47.60294,8.57656
Golfclub Rheinfelden;+41 61 431 31 31;info@golf-rhf.ch;https://www.golfzentrum.ch/de/Home/;200;4310;Rheinfelden;;Golfplatz + Golfzentrum;47.54622,7.77681
Golfclub Schloss Goldenberg;+41 52 305 23 33;info@golf-goldenberg.ch;https://golfclubschlossgoldenberg.ch/;200;8458;Dorf;;Golfplatz;47.57792,8.65877
Golfclub Sedrun;+41 81 949 23 24;info@golfclub-sedrun.ch;http://golfclub-sedrun.ch/;200;7188;Sedrun;;Golfplatz;46.65753,8.71884
Golfclub Unterengstringen;+41 44 733 55 44;;https://www.golfunterengstringen.ch/;200;8951;Fahrweid;Überlandstrasse 109;Golfplatz;47.40378,8.41453
Golfclub Wylihof;+41 32 682 28 28;wylihof@golfclub.ch;https://www.golfclub.ch/;200;4542;Luterbach;;Golfplatz;47.22543,7.59645
Golfpark Holzhäusern;+41 41 799 70 10;golfparkholzhaeusern@migrosluzern.ch;http://www.golfparkholzhaeusern.ch/;200;6343;Holzhäusern;Langackerstrasse 1;Golfplatz (Migros);47.15526,8.44637
Golfpark Moossee;+41 58 568 40 00;info@golfpark-moossee.ch;http://www.golfparkmoossee.ch;200;;Moosseedorf;;Golfplatz (Migros);47.02168,7.46589
Golfpark Oberkirch;+41 41 925 24 50;golfparkoberkirch@migrosluzern.ch;http://www.golfpark-oberkirch.ch/;200;6208;Oberkirch;Am Hofbach 1;Golfplatz (Migros);47.15324,8.10183
Golfpark Otelfingen;+41 44 846 68 00;info@golfotelfingen.ch;http://www.golfotelfingen.ch/;200;8112;Otelfingen;Neue Riedstrasse 72;Golfplatz (Migros);47.45311,8.40448
Golfpark Waldkirch;+41 71 434 67 67;info@golfwaldkirch.ch;http://www.golfwaldkirch.ch/;200;9205;Waldkirch;;Golfplatz (Migros);47.46562,9.25102
Golfpark Zürichsee Nuolen;+41 55 450 57 60;info@golfpark.ch;https://www.golfpark.ch/;200;8855;Wangen;Rütihof 3;Golfplatz (Migros);47.19890,8.89877
Golfplatz Gonten Appenzell;+41 71 795 40 60;;https://www.golfplatz.ch/;200;9108;Gontenbad;Kaustrasse 1;Golfplatz;47.32717,9.36954
Golfplatz Riederalp;+41 27 927 29 32;info@golfclub-riederalp.ch;https://www.golfclub-riederalp.ch/;200;3987;Riederalp;;Golfplatz;46.37881,8.03084
Golfplatz Samedan;+41 81 851 04 66;;https://www.engadin-golf.ch/;200;;Samedan;;Golfplatz;46.52146,9.87193
John's Golf;;;https://www.johnsgolf.ch/;200;;Bäretswil;;Golf-Anlage;47.43974,8.97588
Kulm Golf St. Moritz;+41 81 836 82 36;info@stmoritz-golfclub.ch;https://www.stmoritz-golfclub.ch/;200;7500;St. Moritz;;Golfplatz;46.50174,9.84836
Kurzspiel Golfplatz Affoltern;+41 43 444 08 00;;https://www.affoltern-golfplatz.ch/;200;8910;Affoltern am Albis;Im Moos;Kurzspiel-Anlage;47.28645,8.45073
Ostschweizerischer Golfclub Niederbüren;;;https://www.osgc.ch/;200;9246;Niederbüren;Golfstrasse 106;Golfplatz;47.47128,9.19505
Pitch & Putt Schinznach Bad;+41 56 463 77 32;;https://www.bad-schinznach.ch/sport/golf;200;5116;Schinznach Bad;;Pitch & Putt;47.45582,8.16535
Swin-golf de Cremin;;;https://loisirsalaferme.ch/swin-golf/;200;;Cremin;;Swin-Golf;46.72496,6.84522
Swiss Golf Bubikon;+41 55 253 23 53;info@swissgolfbubikon.ch;https://www.swissgolfbubikon.ch/;200;8608;Bubikon;Kämmoos;Golfplatz;47.26413,8.83078
Swiss Golf Lounge;;;https://www.swissgolflounge.ch/;200;8810;Horgen;Seestrasse 91;Indoor-Golf;47.42476,8.37223
Winterberg Golf & Academy;+41 52 345 11 81;info@golf-winterberg.ch;https://www.golf-winterberg.ch/;200;;Winterberg;;Golfplatz + Academy;47.45878,8.68415
